host,state,serial,dataset_path,dataset,split,model_id,force_asr_language,task,batch_size,max_eval_samples,norm_english,long_form,model/num_parameters,wer,mer,wil,wip,cer,rtfx,no_params,n_params,num_samples,audio_length_s_mean,audio_length_s_std,audio_length_s_min,audio_length_s_max,max_memory,bpw,total_MB
DGX-H200-CN03,finished,10,google/fleurs,am_et,test,Qwen/Qwen2-Audio-7B,am,,128,,False,False,,129.81,99.96,100.0,0.0,133.14,67.53,8397.0949,8397094912.0,516.0,11.251395348837208,3.525353000392497,4.98,28.92,122012.0,16.0,16016.1875
DGX-CN01,finished,10,google/fleurs,am_et,test,mistralai/Voxtral-Mini-3B-2507,am,,128,,False,False,,108.15,99.8,100.0,0.0,111.61,203.93,4676.2711,4676271104.0,516.0,11.251395348837208,3.525353000392497,4.98,28.92,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,google/fleurs,am_et,test,openai/whisper-medium,am,,128,,False,False,,365.32,99.99,100.0,0.0,233.22,155.69,763.8579,816967680.0,516.0,11.251395348837208,3.525353000392497,4.98,28.92,80280.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,google/fleurs,en_us,test,Qwen/Qwen2-Audio-7B,en,,128,,False,False,,7.79,7.63,12.11,87.89,4.67,156.03,8397.0949,8397094912.0,647.0,9.873106646058732,3.554705784318474,3.6,29.3,137404.0,16.0,16016.1875
DGX-CN01,finished,10,google/fleurs,en_us,test,mistralai/Voxtral-Mini-3B-2507,en,,128,,False,False,,4.42,4.39,7.18,92.82,2.11,325.64,4676.2711,4676271104.0,647.0,9.873106646058732,3.554705784318474,3.6,29.3,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,google/fleurs,en_us,test,openai/whisper-medium,en,,128,,False,False,,5.25,5.21,8.63,91.37,2.35,621.98,763.8579,816967680.0,647.0,9.873106646058732,3.554705784318474,3.6,29.3,22230.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,google/fleurs,es_419,test,Qwen/Qwen2-Audio-7B,es,,128,,False,False,,6.42,6.33,10.28,89.72,3.9,140.42,8397.0949,8397094912.0,908.0,12.2534140969163,3.72344984376442,4.92,30.3,125200.0,16.0,16016.1875
DGX-CN01,finished,10,google/fleurs,es_419,test,mistralai/Voxtral-Mini-3B-2507,es,,128,,False,False,,3.33,3.32,5.11,94.89,1.73,282.04,4676.2711,4676271104.0,908.0,12.2534140969163,3.72344984376442,4.92,30.3,32728.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,google/fleurs,es_419,test,openai/whisper-medium,es,,128,,False,False,,3.57,3.55,6.07,93.93,1.34,640.77,763.8579,816967680.0,908.0,12.2534140969163,3.72344984376442,4.92,30.3,22260.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,google/fleurs,fr_fr,test,Qwen/Qwen2-Audio-7B,fr,,128,,False,False,,9.02,8.85,14.45,85.55,4.97,107.9,8397.0949,8397094912.0,676.0,10.390650887573964,3.7276342440211607,3.54,33.54,137974.0,16.0,16016.1875
DGX-CN01,finished,10,google/fleurs,fr_fr,test,mistralai/Voxtral-Mini-3B-2507,fr,,128,,False,False,,4.7,4.67,7.91,92.09,2.1,220.48,4676.2711,4676271104.0,676.0,10.390650887573964,3.7276342440211607,3.54,33.54,34452.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,google/fleurs,fr_fr,test,openai/whisper-medium,fr,,128,,False,False,,7.94,7.87,13.45,86.55,2.86,519.74,763.8579,816967680.0,676.0,10.390650887573964,3.7276342440211607,3.54,33.54,22484.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,google/fleurs,ha_ng,test,Qwen/Qwen2-Audio-7B,ha,,128,,False,False,,107.05,97.97,99.85,0.15,89.99,106.16,8397.0949,8397094912.0,621.0,19.362222222222226,8.670944411610959,6.12,78.9,125476.0,16.0,16016.1875
DGX-CN01,finished,10,google/fleurs,ha_ng,test,mistralai/Voxtral-Mini-3B-2507,ha,,128,,False,False,,95.56,87.82,98.1,1.9,55.94,97.31,4676.2711,4676271104.0,621.0,19.362222222222226,8.670944411610959,6.12,78.9,44732.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,google/fleurs,ha_ng,test,openai/whisper-medium,ha,,128,,False,False,,121.52,91.23,98.64,1.36,71.92,299.91,763.8579,816967680.0,621.0,19.362222222222226,8.670944411610959,6.12,78.9,80280.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,google/fleurs,hi_in,test,Qwen/Qwen2-Audio-7B,hi,,128,,False,False,,89.64,85.45,95.5,4.5,93.96,69.0,8397.0949,8397094912.0,418.0,11.560334928229665,4.395385511695985,3.84,31.44,125478.0,16.0,16016.1875
DGX-CN01,finished,10,google/fleurs,hi_in,test,mistralai/Voxtral-Mini-3B-2507,hi,,128,,False,False,,10.05,9.82,15.16,84.84,5.74,159.17,4676.2711,4676271104.0,418.0,11.560334928229665,4.395385511695985,3.84,31.44,32728.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,google/fleurs,hi_in,test,openai/whisper-medium,hi,,128,,False,False,,29.96,28.26,43.66,56.34,15.64,180.39,763.8579,816967680.0,418.0,11.560334928229665,4.395385511695985,3.84,31.44,80280.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,google/fleurs,id_id,test,Qwen/Qwen2-Audio-7B,id,,128,,False,False,,46.79,43.49,59.8,40.2,31.3,91.06,8397.0949,8397094912.0,687.0,12.395109170305677,4.474528945159187,4.44,41.28,125476.0,16.0,16016.1875
DGX-CN01,finished,10,google/fleurs,id_id,test,mistralai/Voxtral-Mini-3B-2507,id,,128,,False,False,,9.85,9.76,16.83,83.17,4.08,222.5,4676.2711,4676271104.0,687.0,12.395109170305677,4.474528945159187,4.44,41.28,34308.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,google/fleurs,id_id,test,openai/whisper-medium,id,,128,,False,False,,10.82,10.68,18.45,81.55,3.26,625.36,763.8579,816967680.0,687.0,12.395109170305677,4.474528945159187,4.44,41.28,22230.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,google/fleurs,mr_in,test,Qwen/Qwen2-Audio-7B,mr,,128,,False,False,,99.46,91.0,98.28,1.72,97.39,76.83,8397.0949,8397094912.0,1015.0,13.678108374384236,5.245826402300763,4.68,41.64,125476.0,16.0,16016.1875
DGX-CN01,finished,10,google/fleurs,mr_in,test,mistralai/Voxtral-Mini-3B-2507,mr,,128,,False,False,,39.42,37.43,56.21,43.79,19.45,109.05,4676.2711,4676271104.0,1015.0,13.678108374384236,5.245826402300763,4.68,41.64,34634.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,google/fleurs,mr_in,test,openai/whisper-medium,mr,,128,,False,False,,76.49,65.53,83.87,16.13,60.25,215.24,763.8579,816967680.0,1015.0,13.678108374384236,5.245826402300763,4.68,41.64,80280.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,google/fleurs,sw_ke,test,Qwen/Qwen2-Audio-7B,sw,,128,,False,False,,97.68,94.96,99.12,0.88,78.95,82.69,8397.0949,8397094912.0,487.0,14.249322381930185,4.414707479831654,4.56,29.16,137444.0,16.0,16016.1875
DGX-CN01,finished,10,google/fleurs,sw_ke,test,mistralai/Voxtral-Mini-3B-2507,sw,,128,,False,False,,51.52,49.61,71.83,28.17,26.32,264.02,4676.2711,4676271104.0,487.0,14.249322381930185,4.414707479831654,4.56,29.16,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,google/fleurs,sw_ke,test,openai/whisper-medium,sw,,128,,False,False,,93.71,65.7,82.37,17.63,42.04,224.28,763.8579,816967680.0,487.0,14.249322381930185,4.414707479831654,4.56,29.16,80328.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,google/fleurs,ta_in,test,Qwen/Qwen2-Audio-7B,ta,,128,,False,False,,105.85,99.97,100.0,0.0,109.62,71.07,8397.0949,8397094912.0,591.0,12.981928934010153,6.242916718510916,3.48,60.0,125476.0,16.0,16016.1875
DGX-CN01,finished,10,google/fleurs,ta_in,test,mistralai/Voxtral-Mini-3B-2507,ta,,128,,False,False,,62.29,58.53,76.7,23.3,48.02,102.96,4676.2711,4676271104.0,591.0,12.981928934010153,6.242916718510916,3.48,60.0,33304.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,google/fleurs,ta_in,test,openai/whisper-medium,ta,,128,,False,False,,31.74,29.23,43.52,56.48,16.22,196.03,763.8579,816967680.0,591.0,12.981928934010153,6.242916718510916,3.48,60.0,80280.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,google/fleurs,ur_pk,test,Qwen/Qwen2-Audio-7B,ur,,128,,False,False,,119.72,99.59,100.0,0.0,106.9,65.76,8397.0949,8397094912.0,299.0,9.805685618729097,3.4019040929867104,3.72,25.8,107596.0,16.0,16016.1875
DGX-CN01,finished,10,google/fleurs,ur_pk,test,mistralai/Voxtral-Mini-3B-2507,ur,,128,,False,False,,86.6,71.37,89.86,10.14,48.19,191.93,4676.2711,4676271104.0,299.0,9.805685618729097,3.4019040929867104,3.72,25.8,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,google/fleurs,ur_pk,test,openai/whisper-medium,ur,,128,,False,False,,29.76,28.41,45.38,54.62,11.65,209.51,763.8579,816967680.0,299.0,9.805685618729097,3.4019040929867104,3.72,25.8,80280.0,16.0,1558.2421875
