model_short,study_cell,dataset,variety_cer,num_samples,primary_cer,fleurs_cer,population,language_name,accent_match,variety_seen_in_training,parent_selected_on_fleurs,is_degenerate,penalty_abs,penalty_rel
whisper-medium,es_419,es_ar,20.220000,3032.000000,22.390000,1.340000,baseline,Spanish (LatAm),related,False,True,False,-2.170000,0.903082
Qwen2-Audio-7B,es_419,es_cl,23.350000,20912.000000,12.210000,3.900000,baseline,Spanish (LatAm),related,False,True,False,11.140000,1.912367
Voxtral-Mini-3B-2507,es_419,es_cl,19.590000,20912.000000,8.460000,1.730000,baseline,Spanish (LatAm),related,False,True,False,11.130000,2.315603
whisper-medium,es_419,es_cl,51.410000,20912.000000,22.390000,1.340000,baseline,Spanish (LatAm),related,False,True,False,29.020000,2.296114
Qwen2-Audio-7B,es_419,es_co,17.960000,1893.000000,12.210000,3.900000,baseline,Spanish (LatAm),related,False,True,False,5.750000,1.470925
Voxtral-Mini-3B-2507,es_419,es_co,11.790000,1893.000000,8.460000,1.730000,baseline,Spanish (LatAm),related,False,True,False,3.330000,1.393617
whisper-medium,es_419,es_co,78.040000,1893.000000,22.390000,1.340000,baseline,Spanish (LatAm),related,False,True,False,55.650000,3.485485
Qwen2-Audio-7B,es_419,es_es,10.170000,34140.000000,12.210000,3.900000,baseline,Spanish (LatAm),related,False,True,False,-2.040000,0.832924
Voxtral-Mini-3B-2507,es_419,es_es,7.430000,34140.000000,8.460000,1.730000,baseline,Spanish (LatAm),related,False,True,False,-1.030000,0.878251
whisper-medium,es_419,es_es,7.960000,34140.000000,22.390000,1.340000,baseline,Spanish (LatAm),related,False,True,False,-14.430000,0.355516
Qwen2-Audio-7B,es_419,es_pe,10.610000,4637.000000,12.210000,3.900000,baseline,Spanish (LatAm),related,False,True,False,-1.600000,0.868960
Voxtral-Mini-3B-2507,es_419,es_pe,6.550000,4637.000000,8.460000,1.730000,baseline,Spanish (LatAm),related,False,True,False,-1.910000,0.774232
whisper-medium,es_419,es_pe,18.140000,4637.000000,22.390000,1.340000,baseline,Spanish (LatAm),related,False,True,False,-4.250000,0.810183
Qwen2-Audio-7B,es_419,es_pr,13.920000,2742.000000,12.210000,3.900000,baseline,Spanish (LatAm),related,False,True,False,1.710000,1.140049
Voxtral-Mini-3B-2507,es_419,es_pr,9.540000,2742.000000,8.460000,1.730000,baseline,Spanish (LatAm),related,False,True,False,1.080000,1.127660
whisper-medium,es_419,es_pr,17.630000,2742.000000,22.390000,1.340000,baseline,Spanish (LatAm),related,False,True,False,-4.760000,0.787405
Qwen2-Audio-7B,es_419,es_py,12.000000,1604.000000,12.210000,3.900000,baseline,Spanish (LatAm),related,False,True,False,-0.210000,0.982801
Voxtral-Mini-3B-2507,es_419,es_py,8.650000,1604.000000,8.460000,1.730000,baseline,Spanish (LatAm),related,False,True,False,0.190000,1.022459
whisper-medium,es_419,es_py,12.960000,1604.000000,22.390000,1.340000,baseline,Spanish (LatAm),related,False,True,False,-9.430000,0.578830
Qwen2-Audio-7B,es_419,es_uy,23.940000,10730.000000,12.210000,3.900000,baseline,Spanish (LatAm),related,False,True,False,11.730000,1.960688
