run_id,serial,model_id,model_short,dataset,dataset_path,split,state,seed,run_start,effective_batch,epochs_logged_unreliable,n_evals,best_cer,final_cer,final_minus_best,audio_h_to_best,audio_h_total,step_to_best,step_total,epoch_at_best,epoch_total,first_cer,audio_h_to_1.25x_best,step_to_1.25x_best,epoch_at_1.25x_best,audio_h_to_1.5x_best,step_to_1.5x_best,epoch_at_1.5x_best,audio_h_to_2x_best,step_to_2x_best,epoch_at_2x_best,late_sd,late_mean,n_late,language_name,region,language_status,train_eval_match,excluded_from_aggregate,is_canonical,n_runs_in_cell
afe8rk3p,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,earth,am_et,google/fleurs,validation,finished,420,1785812064.504569,512,58.014000,101,29.250000,38.650000,9.400000,731.045511,2215.516723,330.000000,1000.000000,19.007000,58.014000,385.860000,465.126312,210.000000,12.006000,354.337133,160.000000,9.007000,354.337133,160.000000,9.007000,3.063428,39.773226,31,Amharic,earth,in_domain,clean,False,True,1
zn9qjo2j,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,fire,am_et,google/fleurs,validation,finished,420,1785813835.217771,512,58.014000,101,31.010000,42.740000,11.730000,886.128436,2215.516723,400.000000,1000.000000,23.009000,58.014000,348.850000,642.636555,290.000000,17.001000,465.126312,210.000000,12.006000,420.940317,190.000000,11.003000,1.767918,41.280000,31,Amharic,earth,in_domain,clean,False,True,1
pmi6wtdb,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,global,am_et,google/fleurs,validation,finished,420,1785755087.905828,512,58.014000,101,27.000000,37.680000,10.680000,797.648694,2215.516723,360.000000,1000.000000,21.003000,58.014000,408.700000,486.920598,220.000000,12.016000,465.126312,210.000000,12.006000,331.974838,150.000000,8.014000,1.779665,38.302581,31,Amharic,earth,in_domain,clean,False,True,1
8585x9lv,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,water,am_et,google/fleurs,validation,finished,420,1785755084.466738,512,58.014000,101,24.850000,40.370000,15.520000,819.480431,2215.516723,370.000000,1000.000000,21.013000,58.014000,423.100000,664.449850,300.000000,17.011000,642.636555,290.000000,17.001000,442.772054,200.000000,11.013000,3.105993,42.477097,31,Amharic,earth,in_domain,clean,False,True,1
w68nxmia,2,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,base,crs_sc,ERISLab/WorldSpeech,val_clean,finished,420,1785817315.521909,512,1.398610,101,21.350000,23.330000,1.980000,1626.258020,2112.165530,770.000000,1000.000000,1.076925,1.398610,136.190000,232.226800,110.000000,0.153850,232.226800,110.000000,0.153850,211.221098,100.000000,0.139863,0.916487,23.413667,30,Seychellois Creole,,ood_encoder_and_decoder,clean,False,True,1
8j45p701,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,earth,crs_sc,ERISLab/WorldSpeech,val_clean,finished,420,1785867854.932367,512,1.398610,101,17.920000,21.780000,3.860000,676.088341,2112.165530,320.000000,1000.000000,0.447562,1.398610,145.370000,549.376075,260.000000,0.363644,274.495591,130.000000,0.181822,189.976835,90.000000,0.125877,1.117964,20.663000,30,Seychellois Creole,,ood_encoder_and_decoder,clean,False,True,1
ics7enhp,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,fire,crs_sc,ERISLab/WorldSpeech,val_clean,finished,420,1785895106.873978,512,1.398610,101,19.910000,22.400000,2.490000,1478.457117,2112.165530,700.000000,1000.000000,0.979042,1.398610,129.160000,253.335935,120.000000,0.167836,211.221098,100.000000,0.139863,168.828054,80.000000,0.111891,0.933062,22.567667,30,Seychellois Creole,,ood_encoder_and_decoder,clean,False,True,1
0v70lro1,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,global,crs_sc,ERISLab/WorldSpeech,val_clean,finished,420,1785829125.900655,512,1.398610,101,18.550000,23.560000,5.010000,1626.258020,2112.165530,770.000000,1000.000000,1.076925,1.398610,138.750000,253.335935,120.000000,0.167836,211.221098,100.000000,0.139863,168.828054,80.000000,0.111891,1.083320,22.893667,30,Seychellois Creole,,ood_encoder_and_decoder,clean,False,True,1
dv5swzra,2,q2a_openai/whisper-medium_Qwen/Qwen3-4B,qwen3-4b,crs_sc,ERISLab/WorldSpeech,val_clean,finished,42,1785380230.619987,512,1.286000,101,17.390000,18.640000,1.250000,739.430705,2114.383794,350.000000,1000.000000,0.350000,1.286000,319.970000,380.461779,180.000000,0.180000,317.091467,150.000000,0.150000,211.432008,100.000000,0.100000,0.615134,19.206333,30,Seychellois Creole,,ood_encoder_and_decoder,clean,False,True,1
43gb7uol,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,water,crs_sc,ERISLab/WorldSpeech,val_clean,finished,420,1785829123.964312,512,1.398610,101,19.210000,21.450000,2.240000,929.513250,2112.165530,440.000000,1000.000000,0.615398,1.398610,143.710000,253.335935,120.000000,0.167836,189.976835,90.000000,0.125877,168.828054,80.000000,0.111891,0.972600,22.160667,30,Seychellois Creole,,ood_encoder_and_decoder,clean,False,True,1
2oxfzx48,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,earth,en_us,google/fleurs,validation,finished,42,1785127352.622000,512,1.000000,101,4.980000,6.940000,1.960000,1681.412706,2707.768965,620.000000,1000.000000,0.620000,1.000000,506.680000,1106.365223,410.000000,0.410000,403.860946,150.000000,0.150000,324.688863,120.000000,0.120000,0.606263,7.177097,31,English,water,in_domain,clean,False,True,1
ll76cvwc,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,fire,en_us,google/fleurs,validation,finished,42,1785141478.552427,512,1.000000,101,4.350000,4.550000,0.200000,1900.341096,2707.768965,700.000000,1000.000000,0.700000,1.000000,157.880000,457.066943,170.000000,0.170000,403.860946,150.000000,0.150000,298.605277,110.000000,0.110000,0.082655,4.525806,31,English,water,in_domain,clean,False,True,1
8g3x2qon,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,global,en_us,google/fleurs,validation,finished,42,1785146272.658896,512,1.000000,101,4.960000,5.440000,0.480000,671.364017,2707.768965,250.000000,1000.000000,0.250000,1.000000,232.140000,590.637842,220.000000,0.220000,430.524025,160.000000,0.160000,271.344310,100.000000,0.100000,0.413447,5.817742,31,English,water,in_domain,clean,False,True,1
