population,excludes_degenerate,predictor,outcome,aggregation,study_cell,spearman_rho,spearman_p,n,model_population
all_varieties,False,primary_wer,variety_wer,language_centred,ALL,-0.025133,0.861029,51,trained
all_varieties,False,primary_wer,variety_wer,within_language,en_us,-0.009631,0.966949,21,trained
all_varieties,False,primary_wer,variety_wer,within_language,es_419,-0.039344,0.876821,18,trained
all_varieties,False,primary_wer,penalty_rel,pooled,ALL,-0.129763,0.364107,51,trained
all_varieties,False,primary_wer,penalty_rel,language_centred,ALL,-0.099622,0.486719,51,trained
all_varieties,False,primary_wer,penalty_rel,within_language,en_us,-0.077051,0.739914,21,trained
all_varieties,False,primary_wer,penalty_rel,within_language,es_419,-0.131148,0.603957,18,trained
all_varieties,False,fleurs_wer,variety_wer,pooled,ALL,0.536891,0.000172,44,trained
all_varieties,False,fleurs_wer,variety_wer,language_centred,ALL,0.049286,0.750707,44,trained
all_varieties,False,fleurs_wer,variety_wer,within_language,en_us,-0.088596,0.763275,14,trained
all_varieties,False,fleurs_wer,variety_wer,within_language,es_419,0.039344,0.876821,18,trained
all_varieties,False,fleurs_wer,penalty_rel,pooled,ALL,-0.077267,0.618117,44,trained
all_varieties,False,fleurs_wer,penalty_rel,language_centred,ALL,0.014488,0.925635,44,trained
all_varieties,False,fleurs_wer,penalty_rel,within_language,en_us,-0.159473,0.586051,14,trained
all_varieties,False,fleurs_wer,penalty_rel,within_language,es_419,-0.026230,0.917716,18,trained
all_varieties,True,primary_wer,variety_wer,pooled,ALL,0.525474,0.000126,48,trained
all_varieties,True,primary_wer,variety_wer,language_centred,ALL,-0.049512,0.738233,48,trained
all_varieties,True,primary_wer,variety_wer,within_language,en_us,-0.026230,0.917716,18,trained
all_varieties,True,primary_wer,variety_wer,within_language,es_419,-0.039344,0.876821,18,trained
all_varieties,True,primary_wer,penalty_rel,pooled,ALL,-0.166224,0.258834,48,trained
all_varieties,True,primary_wer,penalty_rel,language_centred,ALL,-0.144115,0.328444,48,trained
all_varieties,True,primary_wer,penalty_rel,within_language,en_us,-0.118033,0.640887,18,trained
all_varieties,True,primary_wer,penalty_rel,within_language,es_419,-0.131148,0.603957,18,trained
all_varieties,True,fleurs_wer,variety_wer,pooled,ALL,0.558467,0.000121,42,trained
all_varieties,True,fleurs_wer,variety_wer,language_centred,ALL,-0.017873,0.910552,42,trained
all_varieties,True,fleurs_wer,variety_wer,within_language,en_us,-0.144841,0.653339,12,trained
all_varieties,True,fleurs_wer,variety_wer,within_language,es_419,0.039344,0.876821,18,trained
all_varieties,True,fleurs_wer,penalty_rel,pooled,ALL,-0.095730,0.546464,42,trained
all_varieties,True,fleurs_wer,penalty_rel,language_centred,ALL,-0.088956,0.575331,42,trained
all_varieties,True,fleurs_wer,penalty_rel,within_language,en_us,-0.241402,0.449729,12,trained
all_varieties,True,fleurs_wer,penalty_rel,within_language,es_419,-0.026230,0.917716,18,trained
